bedrooms,bathrooms,property_type,title,price,source
2,3,Apartment,2 bedroom Apartment for Sale in Al Qurum Ras Alhamra - Lammah Apartments,65000,tibiaan
4,3,Villa,Farm for investment with farmhouse for Sale in Al Hail North,300000,tibiaan
19,20,Other,Building  for Sale in Al Hail North,280000,tibiaan
6,8,Villa,New Twin Villa for Sale in Al Amarat,86000,tibiaan
5,5,Land,Land for Sale in Al Khoudh 7,75000,tibiaan
4,4,Villa,Villa for Sale in Dar Al Zain,120000,tibiaan
6,7,Villa,New Twin Villa for Sale in Bawshar,170000,tibiaan
5,5,Land,Land for Sale in Al Amarat,14000,tibiaan
5,5,Land,Land for Sale in Al Hail South,175000,tibiaan
5,5,Villa,4 Nice Villas for Sale in Al Khoudh 6,110000,tibiaan
4,6,Villa,4 Villas for Sale in Al Hail South,150000,tibiaan
5,7,Villa,Luxury Villa for Sale in Al Hail South,650000,tibiaan
5,5,Land,Industrial Land in Al Rusail for Sale with the license to build up to 2 floors,85000,tibiaan
5,5,Land,Residential \ Commercial Land for Sale  with the license to build up to 8 floors in Al Khoudh,400000,tibiaan
5,6,Villa,New Stylish Twin Villa for Sale in Halban,85000,tibiaan
5,5,Villa,Modern Twin Villa for Sale in Al Mabela South,73000,tibiaan
3,3,Villa,Villa for sale in Dar Al Zain,85000,tibiaan
5,6,Villa,New Twin Villa for Sale in Al Azaiba close to 18th November Street,250000,tibiaan
2,2,Apartment,2 Bedroom Apartment for Sale in Al Qurum,60000,tibiaan
2,2,Apartment,2 Bedroom Apartment for Sale in Al Azaiba,55000,tibiaan
4,5,Villa,New Twin Villa for Sale in Al Azaiba Close to 18 November Street,185000,tibiaan
5,6,Villa,Amazing Modern Villa for Sale in Al Khoudh 6,285000,tibiaan
5,5,Land,Land for Sale in Al Mawaleh South,90000,tibiaan
5,5,Villa,New Twin Villa for Sale in Al Khoudh,140000,tibiaan
8,9,Villa,Villa for Sale located in Al Ghubrah,495000,tibiaan
5,5,Villa,New Twin Villa for Sale in Al Amarat,70000,tibiaan
9,9,Villa,Twin Villa for Sale in Al Azaiba,350000,tibiaan
2,2,Apartment,Apartment for Sale in Al Khuwair,75000,tibiaan
